iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,task_grader_score_mean,task_completion_rate,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6394239664077759,0.6394239664077759,0.9700977802276611,1.3505451679229736,0.08253361284732819,1.012067437171936,417,565,1018,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
10,0.6481499075889587,0.639949320710745,0.9173397421836853,1.3824055194854736,0.08522000163793564,1.0145018100738525,325,502,1173,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
20,0.6744742393493652,0.6565696839599303,0.7920059561729431,1.4197341203689575,0.08456813544034958,1.0001870393753052,182,394,1424,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
30,0.6907371878623962,0.6735468237765424,0.7124990224838257,1.4442592859268188,0.08532784879207611,1.0015907287597656,105,344,1551,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
40,0.6921244859695435,0.6850208329354089,0.7028929591178894,1.446460485458374,0.08716563880443573,1.0006279945373535,102,312,1586,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
50,0.6889180541038513,0.6871747853295201,0.7175471186637878,1.4409211874008179,0.08712950348854065,0.9965590834617615,104,387,1509,1.73272038845506,0.3989191382395771,0.7351218838754559,0.06058062880903606,0.6666666666666665,0.0,2.35,0.49382567405700684,0.8289391398429871,0.056475766003131866,0.8813502788543701
