iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6427809000015259,0.6427809000015259,1.020072102546692,1.12020742893219,0.08885673433542252,0.5371517539024353,620,723,657,2.634051128719954,0.9209272738583637,0.5935735914320708,0.052818157330030924,4.4,0.8884716629981995,0.8641588091850281,0.060292139649391174,0.5111793875694275
5,0.6418572068214417,0.6414256326210499,1.0191210508346558,1.1404297351837158,0.08787395060062408,0.5365592241287231,617,754,629,2.634051128719954,0.9209272738583637,0.5935735914320708,0.052818157330030924,4.4,0.8884716629981995,0.8641588091850281,0.060292139649391174,0.5111793875694275
10,0.6416820287704468,0.6406903411958903,1.0013222694396973,1.1563842296600342,0.09570051729679108,0.5468680262565613,556,743,701,2.634051128719954,0.9209272738583637,0.5935735914320708,0.052818157330030924,4.4,0.8884716629981995,0.8641588091850281,0.060292139649391174,0.5111793875694275
15,0.6482057571411133,0.6427047959274033,0.9830794930458069,1.1472666263580322,0.09147246181964874,0.540966808795929,553,739,708,2.5843028861579125,1.028302998045947,0.5889864079318661,0.07877612826893965,4.3,0.9023497700691223,0.7899932861328125,0.07045002281665802,0.5182626843452454
20,0.6496909260749817,0.6446178961576092,0.972700834274292,1.1609845161437988,0.09122513979673386,0.5476493239402771,504,772,724,2.737646320965027,0.7496433536876781,0.6949801955960037,0.058349136140323984,3.95,0.6886457800865173,0.8308596014976501,0.07536496222019196,0.5449321866035461
25,0.6526403427124023,0.648339000163787,0.9485470652580261,1.1933602094650269,0.0914769098162651,0.5562015771865845,471,756,773,2.490494974860894,0.43157910124686777,0.7039205299432691,0.08346303180376484,3.55,0.6022626757621765,0.9378204345703125,0.08442530781030655,0.5534186959266663
