iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6481349468231201,0.6481349468231201,0.979518711566925,1.1526621580123901,0.09216545522212982,0.5487194657325745,651,585,764,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
5,0.6465687155723572,0.6470491739279033,0.9781826138496399,1.1635005474090576,0.09474819898605347,0.55190110206604,653,583,764,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
10,0.6489211916923523,0.6480385112386448,0.9495238661766052,1.2012792825698853,0.09843234717845917,0.5430984497070312,541,606,853,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
15,0.658271074295044,0.6523397803042353,0.9229087233543396,1.191251516342163,0.09202868491411209,0.5492461919784546,521,593,886,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
20,0.6646001935005188,0.6562849660673284,0.8895366191864014,1.2135261297225952,0.09103608876466751,0.5525484681129456,458,631,911,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
25,0.6682490110397339,0.6608613566098335,0.8608769774436951,1.2374440431594849,0.09404214471578598,0.5406003594398499,386,634,980,2.6315231452068497,0.41278595194552614,0.773456651805233,0.036358513884335704,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
