iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.7237241268157959,0.7237241268157959,0.6840006709098816,1.1574609279632568,0.07463736087083817,0.33254632353782654,417,565,1018,3.2141198671946514,0.7202359046517307,0.8133543439314186,0.029262492679201526,3.95,0.31824371218681335,0.9258863925933838,0.06165510043501854,0.33455002307891846
10,0.721297562122345,0.7220082848265814,0.6922420263290405,1.1532096862792969,0.0768124982714653,0.3314896821975708,440,583,977,3.2141198671946514,0.7202359046517307,0.8133543439314186,0.029262492679201526,3.95,0.31824371218681335,0.9258863925933838,0.06165510043501854,0.33455002307891846
20,0.7186099886894226,0.7207721583907487,0.7061322927474976,1.1542571783065796,0.07524845749139786,0.3429807424545288,425,677,898,3.335073688290284,0.7607956484960648,0.8118992696112105,0.03239308905593137,4.1,0.3277333974838257,0.9090738892555237,0.06304474174976349,0.3090091943740845
30,0.7126753926277161,0.7160539873772112,0.7325102686882019,1.1787444353103638,0.06992889195680618,0.3326590955257416,403,770,827,4.01785963808287,1.0748227834311153,0.7746479640510832,0.046335313205229794,5.2,0.40367424488067627,0.9873052835464478,0.07254069298505783,0.33213090896606445
40,0.6881480813026428,0.7092784659115239,0.8300310373306274,1.151922583580017,0.08082796633243561,0.32978278398513794,464,891,645,4.800734410744408,1.8318188331558065,0.6898838904302721,0.055100372281032,6.95,0.6717609763145447,0.9585092663764954,0.07602524012327194,0.3341526389122009
50,0.7022663354873657,0.7031108346460649,0.7497495412826538,1.199401617050171,0.0823218896985054,0.3414376974105835,473,772,755,4.81246299335344,2.178272481589942,0.717279628974864,0.07526997242962406,6.65,0.5241295099258423,1.0255272388458252,0.08630524575710297,0.3228510618209839
