iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6498301029205322,0.6498301029205322,0.9704321026802063,1.1625629663467407,0.09566983580589294,0.5533367991447449,318,279,403,2.9194781078330654,0.3664383509877031,0.7678218033673713,0.04432444230085347,3.8,0.4195305407047272,0.8713558316230774,0.1027894839644432,0.5445543527603149
5,0.6599045395851135,0.6516922700244189,0.9204751253128052,1.196329116821289,0.09269740432500839,0.5589135885238647,214,338,448,2.9194781078330654,0.3664383509877031,0.7678218033673713,0.04432444230085347,3.8,0.4195305407047272,0.8713558316230774,0.1027894839644432,0.5445543527603149
10,0.6906160712242126,0.6604908578771812,0.7692241668701172,1.2672983407974243,0.08940383791923523,0.5471699833869934,139,350,511,2.9194781078330654,0.3664383509877031,0.7678218033673713,0.04432444230085347,3.8,0.4195305407047272,0.8713558316230774,0.1027894839644432,0.5445543527603149
15,0.6697037816047668,0.6665277454834333,0.8559200763702393,1.2530183792114258,0.09461421519517899,0.5492162108421326,146,387,467,2.573094251871815,0.7475601972684576,0.7014365569324497,0.14359287151370165,3.6,0.45998892188072205,0.9369299411773682,0.09443947672843933,0.48376622796058655
20,0.6902756094932556,0.6744199984472926,0.7737995386123657,1.2683321237564087,0.08733723312616348,0.5480543375015259,154,320,526,2.573094251871815,0.7475601972684576,0.7014365569324497,0.14359287151370165,3.6,0.45998892188072205,0.9369299411773682,0.09443947672843933,0.48376622796058655
25,0.6787895560264587,0.6783630111485534,0.7953736782073975,1.2718173265457153,0.10355949401855469,0.5419525504112244,139,382,479,3.235153525412877,0.6185544903815463,0.7684415419516291,0.022024433358173476,4.2,0.37702226638793945,0.9906693696975708,0.07373251020908356,0.4339295029640198
30,0.6782547235488892,0.6783714604818759,0.8000423312187195,1.2938505411148071,0.09774236381053925,0.5497788786888123,152,360,488,2.1494530504830034,0.6686574136816877,0.6624582651817842,0.08130762175204362,3.2,0.5313596129417419,0.9114323258399963,0.11628216505050659,0.5681464672088623
35,0.6735824346542358,0.6750765125400843,0.8365694284439087,1.2695338726043701,0.0928371399641037,0.551413893699646,189,362,449,3.1482855330310975,0.8398671678692188,0.6839855961612848,0.07110212059353457,4.6,0.5709231495857239,1.0181596279144287,0.10488498955965042,0.5126493573188782
40,0.6606465578079224,0.6693475773961507,0.870822548866272,1.2972545623779297,0.10037466138601303,0.5458518266677856,198,354,448,3.2496591597123285,1.023318424050049,0.6764132593707354,0.06287637821033244,4.8,0.585247814655304,1.0452364683151245,0.10432269424200058,0.5089701414108276
45,0.6741949915885925,0.6700731973656607,0.801041305065155,1.3206826448440552,0.10233175754547119,0.5377323627471924,213,315,472,2.610515407319555,0.6330450820062031,0.6509566915461156,0.09333266201198807,4.0,0.6122921109199524,0.9389395713806152,0.0886063426733017,0.5613564848899841
