iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6432577967643738,0.6432577967643738,1.0082470178604126,1.1356992721557617,0.09544156491756439,0.5429799556732178,316,310,374,1.969084155856929,0.5867493978087166,0.6849667073118733,0.142619251620505,2.8,0.4869653880596161,0.7686223983764648,0.10545963793992996,0.5130853652954102
5,0.6658987402915955,0.6488719889682532,0.8764583468437195,1.215505838394165,0.0996871218085289,0.5253112316131592,184,357,459,2.457683386262498,0.9196559438939701,0.7076194286835218,0.12350907522123826,3.4,0.4745674729347229,0.948284924030304,0.12087910622358322,0.507393479347229
10,0.6752723455429077,0.6599979218847624,0.836051881313324,1.2489941120147705,0.09286204725503922,0.5459455251693726,150,372,478,3.334472985597961,1.125292736664277,0.742014230491165,0.0801686550352641,4.4,0.3834911584854126,1.0059527158737183,0.05352526903152466,0.4589643180370331
15,0.6782301664352417,0.6674743330459304,0.8148488402366638,1.2523573637008667,0.09722080826759338,0.5299447178840637,97,466,437,2.844070716254275,0.5513770391164162,0.6170027576730273,0.03821836411008433,4.6,0.7712061405181885,0.9424370527267456,0.09306894987821579,0.5150285363197327
20,0.6843637824058533,0.6725146799111497,0.7850159406661987,1.2689967155456543,0.09584541618824005,0.5450120568275452,92,426,482,3.0433745772949683,0.45060681579753015,0.6653095800860708,0.0437303884053144,4.6,0.7084887027740479,0.9179129600524902,0.06393563747406006,0.5373484492301941
25,0.6694340109825134,0.6749195177040858,0.8472892642021179,1.2589701414108276,0.09930400550365448,0.5418550372123718,55,562,383,2.910439123263351,0.6296279699246363,0.635712252236137,0.04128114665089738,4.6,0.7587806582450867,0.8483303189277649,0.061738964170217514,0.5882443189620972
30,0.68720543384552,0.6781575415701417,0.7765823602676392,1.2745469808578491,0.09240712970495224,0.5289984345436096,63,516,421,2.4152124486965123,0.3194640316859619,0.6064630756194533,0.025618162096451638,4.0,0.8709812164306641,0.9662259817123413,0.04078046977519989,0.6162497997283936
35,0.6845069527626038,0.6796048142191257,0.7866572737693787,1.289501667022705,0.09038703143596649,0.5494275689125061,63,484,453,3.127691433546639,0.8280312289153156,0.7126995531941127,0.021814364548127192,4.4,0.5554409027099609,0.957909345626831,0.05196131765842438,0.5343207716941833
40,0.6782691478729248,0.6819272131849714,0.8001394271850586,1.3087509870529175,0.09466635435819626,0.5549895167350769,80,464,456,2.6725756362770285,0.384169628742654,0.6380942918366463,0.08855520660957554,4.2,0.6587764620780945,1.0666872262954712,0.12172026932239532,0.5567652583122253
45,0.6631665229797363,0.6787763904789085,0.8525915741920471,1.2813868522644043,0.10793470591306686,0.5550915002822876,68,554,378,3.5072472179908196,0.709005062488996,0.6488173936512351,0.020330113865156426,5.4,0.7553467750549316,1.0494472980499268,0.046471886336803436,0.4745597839355469
