iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,task_grader_score_mean,task_completion_rate,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.7240732312202454,0.7240732312202454,0.6840231418609619,1.1498013734817505,0.07521243393421173,0.3333547115325928,860,1125,2015,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
5,0.7227219939231873,0.7234679936641457,0.6795894503593445,1.1581350564956665,0.07968797534704208,0.3414815366268158,891,1112,1997,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
10,0.7210672497749329,0.7223162565366932,0.6996781826019287,1.153076171875,0.07297869771718979,0.33830755949020386,899,1158,1943,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
15,0.716789722442627,0.7213196552231183,0.7154793739318848,1.1593304872512817,0.0734071210026741,0.3429645895957947,899,1164,1937,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
20,0.7244837880134583,0.721379413241791,0.6927431225776672,1.1490049362182617,0.06903521716594696,0.3344990909099579,887,1173,1940,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
25,0.7229911088943481,0.7214903363234986,0.6855200529098511,1.1459338665008545,0.07783553004264832,0.3266819715499878,885,1162,1953,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
30,0.7157944440841675,0.7203898814247924,0.7099580764770508,1.1676862239837646,0.07759710401296616,0.33813104033470154,880,1175,1945,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
35,0.7158401608467102,0.7187083734771066,0.7089337110519409,1.1472951173782349,0.08214131742715836,0.3334064185619354,922,1156,1922,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
40,0.718123197555542,0.7191084681580843,0.7136169075965881,1.1441172361373901,0.07401416450738907,0.3335335850715637,926,1226,1848,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
45,0.7184788584709167,0.7184769120890553,0.6995009779930115,1.1576716899871826,0.07889232039451599,0.3303687870502472,867,1242,1891,3.3763477987446113,0.7744519468770492,0.8106715063061922,0.03402730475019833,0.6666666666666665,0.0,4.16,0.3195361793041229,0.9387557506561279,0.06564932316541672,0.31539154052734375
