iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.655495822429657,0.655495822429657,0.9822798371315002,1.1514790058135986,0.07132275402545929,0.5487539172172546,1336,1155,1509,2.670293744641317,0.6307841235201869,0.7671457540688478,0.06690432089913331,3.45,0.43342867493629456,1.34122633934021,0.05827422812581062,0.5543477535247803
5,0.6785745620727539,0.6603396471315622,0.8511175513267517,1.2388802766799927,0.07229495793581009,0.5474677085876465,816,1184,2000,2.670293744641317,0.6307841235201869,0.7671457540688478,0.06690432089913331,3.45,0.43342867493629456,1.34122633934021,0.05827422812581062,0.5543477535247803
10,0.6930932998657227,0.6723741797059066,0.7771849632263184,1.2669545412063599,0.07352903485298157,0.5493039488792419,618,1177,2205,2.670293744641317,0.6307841235201869,0.7671457540688478,0.06690432089913331,3.45,0.43342867493629456,1.34122633934021,0.05827422812581062,0.5543477535247803
15,0.690274178981781,0.6816762044493091,0.7838822603225708,1.2804105281829834,0.07434815913438797,0.5455554127693176,505,1375,2120,2.5843062600419553,0.5905401902108389,0.7701904631787577,0.0686191009534612,3.35,0.41119295358657837,1.3953105211257935,0.06707259267568588,0.557056188583374
20,0.684011697769165,0.6838459654262948,0.8155020475387573,1.2639906406402588,0.07496949285268784,0.5423728823661804,590,1429,1981,2.683647612164902,0.7502462335319875,0.740096871437786,0.05682823663332926,3.6,0.4958592653274536,1.4388114213943481,0.07432656735181808,0.5864794850349426
25,0.682083785533905,0.6841239814243346,0.8093559741973877,1.2953938245773315,0.07701762020587921,0.5395505428314209,627,1353,2020,2.9444012443985548,0.9622678514222878,0.7291331689700922,0.062387066622269095,4.0,0.5590358972549438,1.4000258445739746,0.06996829807758331,0.5240074992179871
