iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,-4.659243583679199,-4.659243583679199,1.0345250368118286,1.148652195930481,0.0814032256603241,0.538580060005188,308,363,329,-26.530111245808076,5.648768899994204,4.6,1.0866237878799438,0.79046231508255,0.07927411049604416,0.509864330291748
5,-4.580012798309326,-4.614925939364435,0.9692705273628235,1.1764216423034668,0.09915580600500107,0.5530409812927246,255,378,367,-9.512741673694876,1.824404726857945,3.2,0.39335915446281433,0.8293328881263733,0.06913884729146957,0.42265066504478455
10,-4.067605018615723,-4.464996490859156,0.7641534209251404,1.270451307296753,0.10093869268894196,0.5388850569725037,158,254,588,-9.632677213570759,1.8828495102363636,3.2,0.3927973210811615,0.9981492757797241,0.050829507410526276,0.5405954718589783
15,-3.6648483276367188,-4.199544584683498,0.6371906399726868,1.2923632860183716,0.09218266606330872,0.5440422296524048,117,153,730,-7.84958193237852,1.3127200533844954,2.6,0.38721272349357605,0.9495433568954468,0.05498562008142471,0.5299054384231567
20,-3.381106376647949,-3.896058877349138,0.5303292274475098,1.3368358612060547,0.09065660089254379,0.5396828651428223,53,115,832,-9.658178710126444,1.7743885744571273,3.2,0.4039020538330078,0.9238422513008118,0.05293487757444382,0.5884877443313599
25,-3.280320882797241,-3.666603146691086,0.48535314202308655,1.3530112504959106,0.09425003081560135,0.5495500564575195,36,73,891,-9.658030618591244,2.9245707658347597,3.0,0.4181383550167084,0.9653574824333191,0.08292387425899506,0.557727575302124
30,-3.2929651737213135,-3.499071693756928,0.4823272228240967,1.3487474918365479,0.09944723546504974,0.526242733001709,34,38,928,-9.747561225933776,1.5935423145081358,3.4,0.3814292848110199,0.8668182492256165,0.08132025599479675,0.49627843499183655
35,-3.066845178604126,-3.3518277282808913,0.414071261882782,1.365612506866455,0.09180380403995514,0.5323034524917603,6,28,966,-9.502333640470216,2.6752030676381597,3.2,0.41305387020111084,0.9315679669380188,0.08701036870479584,0.5119829773902893
40,-3.151768207550049,-3.2582999625284246,0.42011353373527527,1.3850497007369995,0.10127552598714828,0.5337678790092468,9,17,974,-12.000614464848628,5.724212498916325,3.8,0.3780549466609955,0.9934789538383484,0.12152295559644699,0.45115721225738525
45,-3.0872466564178467,-3.185603551224881,0.413451224565506,1.3805632591247559,0.09326592087745667,0.5379748940467834,7,2,991,-9.213637323267744,1.1041585954052717,3.0,0.41872304677963257,0.8808959722518921,0.0723762959241867,0.5035526156425476
