iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.7912725806236267,0.7912725806236267,0.383444219827652,1.3617886304855347,0.03766518458724022,0.5454220771789551,12,300,3688,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
5,0.7889062762260437,0.7907393941044808,0.3918181359767914,1.3638792037963867,0.038337208330631256,0.5485596656799316,12,328,3660,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
10,0.7665423154830933,0.7860427442219946,0.4852007329463959,1.3381050825119019,0.04456814378499985,0.5424965620040894,36,925,3039,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
15,0.7114944458007812,0.7633856295424769,0.7398820519447327,1.274664282798767,0.04886387661099434,0.553925633430481,75,2339,1586,3.164268805037087,0.7873200425544961,0.6700119983922671,0.047305978494750094,4.7,0.9271091818809509,1.2207826375961304,0.050905030220746994,0.5677853226661682
20,0.6903130412101746,0.7342851639252814,0.8340644240379333,1.2563610076904297,0.053065381944179535,0.5495215058326721,38,2798,1164,3.2254937626424387,0.7247020205967071,0.6660682084284408,0.04230282165429579,4.825,0.9186737537384033,1.2527625560760498,0.062026869505643845,0.5718089938163757
25,0.6985234618186951,0.7189747481826897,0.7878239750862122,1.2911672592163086,0.05242788791656494,0.5457629561424255,15,2816,1169,3.468512010923648,0.8484478401642183,0.6984195657586902,0.028011266786073265,4.975,0.8084022998809814,1.2729477882385254,0.048321109265089035,0.5268440842628479
30,0.7093545198440552,0.7130676650323752,0.7360385656356812,1.304517388343811,0.05193690210580826,0.5426306128501892,21,2738,1241,3.1851137488741075,0.7286257467701344,0.6960516474925891,0.046726429192486624,4.575,0.7871493101119995,1.2997291088104248,0.05764054134488106,0.5642788410186768
35,0.7051599025726318,0.7110194793633634,0.7544572949409485,1.302663803100586,0.05235370621085167,0.5515767335891724,18,2756,1226,3.263281267647649,0.9182431817666968,0.6930768029760712,0.049628543570934824,4.7,0.7927379012107849,1.2939447164535522,0.06064856797456741,0.5588184595108032
40,0.7080522179603577,0.7094904088220619,0.7401431202888489,1.3168537616729736,0.05048373341560364,0.5477783679962158,20,2705,1275,3.3550879664922206,0.9341589361387115,0.6958466577193035,0.038539622579278045,4.825,0.7988528609275818,1.299280047416687,0.052305568009614944,0.5491819381713867
45,0.7023494839668274,0.7076231407049445,0.763250470161438,1.3147727251052856,0.051893770694732666,0.5497766733169556,23,2690,1287,3.3209725081754526,0.7420883604953898,0.7055943242529641,0.032534053295502734,4.7,0.777274489402771,1.2941101789474487,0.037581536918878555,0.5640867352485657
50,0.7059555053710938,0.7066931705997834,0.7559148669242859,1.305978536605835,0.04842463508248329,0.5446268320083618,23,2651,1326,3.2949249643324245,0.7756382436876865,0.7055479050071548,0.031375653130130035,4.675,0.7728084921836853,1.302445888519287,0.04297167807817459,0.5463815927505493
55,0.7096918821334839,0.7083523746283309,0.7331652045249939,1.3200187683105469,0.0492369644343853,0.5536267757415771,13,2608,1379,3.51013601193105,0.9865094924276243,0.6970824922076463,0.057283206007405316,5.0,0.7650513648986816,1.3045910596847534,0.05335551127791405,0.5023452639579773
