iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.7912725806236267,0.7912725806236267,0.383444219827652,1.3617886304855347,0.03766518458724022,0.5454220771789551,12,300,3688,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
5,0.7889062762260437,0.7907393941044808,0.3918181359767914,1.3638792037963867,0.038337208330631256,0.5485596656799316,12,328,3660,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
10,0.7665423154830933,0.7860427442219946,0.4852007329463959,1.3381050825119019,0.04456814378499985,0.5424965620040894,36,925,3039,2.7964303122867507,0.6783190434502565,0.8016214435968388,0.03454071975533797,3.475,0.3282114863395691,1.3730342388153076,0.03446906432509422,0.5151014924049377
15,0.7068548798561096,0.7629142915088006,0.7545263171195984,1.272808313369751,0.05269661545753479,0.54962158203125,63,2357,1580,3.2047005607054233,0.74252563690705,0.679731403553032,0.039091175518304454,4.7,0.8923283219337463,1.2258929014205933,0.04799362272024155,0.5689107179641724
20,0.70143723487854,0.7376064658586533,0.7792750000953674,1.273186206817627,0.05234747380018234,0.5429760813713074,49,2668,1283,3.2574957957189836,0.6067986792331203,0.6818557282668314,0.03302552232595873,4.775,0.8670827746391296,1.2377004623413086,0.05812562629580498,0.5591837167739868
25,0.6979241967201233,0.7210741411040799,0.7937062978744507,1.2867305278778076,0.05076348036527634,0.5569870471954346,28,2735,1237,3.23720056973979,0.6844726034191291,0.6825390781689169,0.043363731880209394,4.725,0.8553645014762878,1.2552443742752075,0.05531119182705879,0.5685880780220032
30,0.7042409181594849,0.7128662998640468,0.7645537257194519,1.2912973165512085,0.0510786734521389,0.544242799282074,21,2732,1247,3.310406571053414,0.6683570448888674,0.7009638853119575,0.04900647166084043,4.725,0.762208104133606,1.2954466342926025,0.062234293669462204,0.5406397581100464
35,0.7108378410339355,0.710568432568406,0.7367289066314697,1.304672360420227,0.04794326797127724,0.5425992608070374,8,2728,1264,3.4238983098599967,1.0092126850282546,0.7158656760596938,0.0416511819295619,4.775,0.7081980109214783,1.3249168395996094,0.04457705840468407,0.5603349804878235
40,0.7101255059242249,0.7099878624705294,0.7336657643318176,1.3165653944015503,0.04919244349002838,0.5404068827629089,10,2708,1282,3.4058815373176885,0.873339554437209,0.7182455627027439,0.041151138859120015,4.75,0.7005797028541565,1.3382439613342285,0.046346183866262436,0.5604768991470337
45,0.7104908227920532,0.7104761810775471,0.7288635969161987,1.3155303001403809,0.05072774738073349,0.5517604351043701,16,2610,1374,3.5287695299370285,0.9352719872254134,0.7018632505618154,0.04968195502346702,5.025,0.7598626613616943,1.2957133054733276,0.057758916169404984,0.5365601778030396
50,0.7103654146194458,0.7097758584994561,0.7324889898300171,1.3162163496017456,0.0487259142100811,0.5465124845504761,17,2595,1388,3.494268940700279,0.9135062885464312,0.6944653767031662,0.04541641944613715,5.025,0.7975672483444214,1.289366364479065,0.05474584549665451,0.5183426141738892
55,0.7044987082481384,0.708112956125623,0.754911482334137,1.3181921243667603,0.05081640183925629,0.5457083582878113,7,2689,1304,3.4058561986382685,0.9237990776125045,0.7012852439567852,0.04163576833430296,4.85,0.7777553200721741,1.3072184324264526,0.04481961950659752,0.5396815538406372
