iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.6842824816703796,0.6842824816703796,0.9045237898826599,1.03743577003479,0.06913831830024719,0.33441823720932007,619,726,655,4.142261069396543,1.0471901950006404,0.6251015059627865,0.04126878551765353,6.6,0.8952522873878479,0.9119904637336731,0.06752534210681915,0.360637366771698
10,0.6960036158561707,0.6880488774270194,0.8306620121002197,1.0969914197921753,0.0710410475730896,0.3395501673221588,464,786,750,4.142261069396543,1.0471901950006404,0.6251015059627865,0.04126878551765353,6.6,0.8952522873878479,0.9119904637336731,0.06752534210681915,0.360637366771698
20,0.6944757103919983,0.6974184806955017,0.8137153387069702,1.1185377836227417,0.0810176283121109,0.3426366150379181,359,882,759,4.142261069396543,1.0471901950006404,0.6251015059627865,0.04126878551765353,6.6,0.8952522873878479,0.9119904637336731,0.06752534210681915,0.360637366771698
