iteration,train_reward,train_reward_ema,train_latency,train_cpu,train_error,train_traffic,action_0,action_1,action_2,eval_return_mean,eval_return_std,grader_score_mean,grader_score_std,task_grader_score_mean,task_completion_rate,eval_episode_length_mean,eval_latency,eval_cpu,eval_error,eval_traffic
0,0.635438859462738,0.635438859462738,0.8374284505844116,1.2296009063720703,0.09161648154258728,0.5515531301498413,417,565,1018,2.417580895622422,0.3899005860855833,0.710039433879164,0.03181941159825757,0.6333333333333332,0.0,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
10,0.6369256973266602,0.6343204782488893,0.8272072076797485,1.245404839515686,0.08659563958644867,0.5423636436462402,412,556,1032,2.417580895622422,0.3899005860855833,0.710039433879164,0.03181941159825757,0.6333333333333332,0.0,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
20,0.643479585647583,0.6357409685500786,0.7896143794059753,1.247793197631836,0.08803194016218185,0.5329248905181885,378,577,1045,2.417580895622422,0.3899005860855833,0.710039433879164,0.03181941159825757,0.6333333333333332,0.0,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
30,0.6392247080802917,0.6387488260827822,0.7650400400161743,1.2735133171081543,0.10657946765422821,0.5346048474311829,255,690,1055,2.417580895622422,0.3899005860855833,0.710039433879164,0.03181941159825757,0.6333333333333332,0.0,3.4,0.4265511929988861,0.9179301261901855,0.06654997169971466,0.5485005974769592
40,0.6274071931838989,0.6360201907476409,0.8558046817779541,1.2598965167999268,0.09389688074588776,0.5562873482704163,309,814,877,2.7842945649780413,0.505954233436535,0.6413303681072435,0.049012261412443754,0.5666666666666667,0.0,4.35,0.567983865737915,1.0147892236709595,0.0783328264951706,0.5362269282341003
50,0.6301668882369995,0.6304923600974294,0.8468875288963318,1.2510420083999634,0.09468764811754227,0.5414485335350037,239,919,842,2.7935285903217,0.8191235872731712,0.6307664715639452,0.07005966676872856,0.5166666666666666,0.0,4.4,0.6055918335914612,1.0172406435012817,0.07113970071077347,0.5117813348770142
